,id_Article,domaine,numero_loi,numero_decret,numero_arrete,declaration,numero_article,titre,date_signature,division_partie,division_livre,division_titre,division_sous_titre,division_chapitre,division_section,division_sous_section,section_application,loyer,type_terrain,region,ville,localite,categorie,type_habitation,contenu
0,1,,,,,1,17,,,,,,,,,,,0,,,,,,,"La propriété étant un droit inviolable et sacré, nul ne peut en être privé, si ce n’est lorsque la nécessité publique, légalement constatée, l’exige évidemment, et sous la condition d’une juste et préalable indemnité."
1,2,,96-06,,,0,194,,1996-03-22,,,,,CHAPITRE 2 : COMPETENCES DE LA COMMUNAUTE RURALE,,,,0,,,,,,,Le conseil rural règle par ses délibérations les affaires de la communauté rurale.
2,3,,96-06,,,0,195,,1996-03-22,,,,,CHAPITRE 2 : COMPETENCES DE LA COMMUNAUTE RURALE,,,,0,,,,,,,"Le conseil rural délibère en toute matière pour laquelle compétence lui est donnée par la loi et notamment sur :
les modalités d'exercice de tout droit d'usage pouvant s'exercer à l'intérieur du territoire de la communauté rurale, sous réserve des exceptions prévues par la loi ;
le plan général d'occupation des sols, les projets d'aménagement, de lotissement, d'équipement des périmètres affectés à l'habitation, ainsi que l'autorisation d'installation d'habitations ou de campements;
l'affectation et la désaffectation des terres du domaine national ;
la création, la modification ou la suppression des foires et marchés ;
l'acceptation ou le refus des dons et legs ;
le budget de la communauté rurale, les crédits supplémentaires ainsi que toutes modifications du budget ;
les projets locaux et la participation de la communauté rurale à leur financement ;
les projets d'investissement humain ;
les acquisitions immobilières et mobilières, les projets, plans, devis et contrats de constructions neuves, de reconstructions, de grosses réparations ou de tous autres investissements ;
le classement, le reclassement, l'ouverture, le redressement, l'alignement, le prolongement, l'élargissement ou la suppression des voies et places publiques ainsi que l'établissement, l'amélioration, l'entretien des pistes et chemins non classés ;
la création, la désaffection ou l'agrandissement des cimetières ;
la protection de la faune et de la flore et la lutte contre les déprédateurs et braconniers ;
la lutte contre les incendies et la pratique des feux de culture ;
la nature et les modalités d'exécution des clôtures et des défenses limitant les fonds et protégeant les récoltes pendantes individuelles ou collectives ;
les servitudes de passage et la vaine pâture ;
le régime et les modalités d'accès et d'utilisation des points d'eau de toute nature ;
la création, la délimitation et la matérialisation de chemins de bétail à l'intérieur de la communauté rurale, à l'exception des voies à grande circulation qui relèvent de la compétence du représentant de l'Etat;
l'organisation de l'exploitation de tous les produits végétaux de cueillette et des coupes de bois.
Les délibérations prises par le conseil rural sont exécutoires dans les conditions prévues au Titre VI du présent code."
3,4,,,,8871-MEF-MDB-DGID,0,1,,2004-10-25,,,,,,,,,0,,,,,,,"Les coefficients de correction de la valeur d’acquisition des immeubles pour la détermination de la taxe de plus-value sont fixés ainsi qu’il suit :
acquisition en 1967 et avant coefficient : 8,9563 ;
acquisition en 1968 coefficient : 8,9511 ;
acquisition en 1969 coefficient : 8,6049 ;
acquisition en 1970 coefficient : 8,3697 ;
acquisition en 1971 coefficient : 8,0573 ;
acquisition en 1972 coefficient : 7,5900 ;
acquisition en 1973 coefficient : 6,8204 ;
acquisition en 1974 coefficient : 5,8519 ;
acquisition en 1975 coefficient : 4,4444 ;
acquisition en 1976 coefficient : 4,3953 ;
acquisition en 1977 coefficient : 3,9438 ;
acquisition en 1978 coefficient : 3,8171 ;
acquisition en 1979 coefficient : 3,4811 ;
acquisition en 1980 coefficient : 3,2018 ;
acquisition en 1981 coefficient : 3,0229 ;
acquisition en 1982 coefficient : 2,5757 ;
acquisition en 1983 coefficient : 2,3072 ;
acquisition en 1984 coefficient : 2,0642 ;
acquisition en 1985 coefficient : 1,8258 ;
acquisition en 1986 coefficient : 1,7202 ;
acquisition en 1987 coefficient : 1,7946 ;
acquisition en 1988 coefficient : 1,8279 ;
acquisition en 1989 coefficient : 1,8198 ;
acquisition en 1990 coefficient : 1,8139 ;
acquisition en 1991 coefficient : 1,8463 ;
acquisition en 1992 coefficient : 1,8464 ;
acquisition en 1993 coefficient : 1,8603 ;
acquisition en 1994 coefficient : 1,4082 ;
acquisition en 1995 coefficient : 1,3030 ;
acquisition en 1996 coefficient : 1,2680 ;
acquisition en 1997 coefficient : 1,2275 ;
acquisition en 1998 coefficient : 1,1530 ;
acquisition en 1999 coefficient : 1,1316 ;
acquisition en 2000 coefficient : 1,0978 ;
acquisition en 2001 coefficient : 1,0364 ;
acquisition en 2002 coefficient : 1,0087 ;
acquisition en 2003 coefficient : 1,0000."
4,5,,,,8871-MEF-MDB-DGID,0,2,,2004-10-25,,,,,,,,,0,,,,,,,Le Directeur général des Impôts et des Domaines est chargé de l’exécution du présent arrêté.
5,6,,,2012-396,,0,1,,2012-03-27,,,,,,,,,0,,,,,,,"Il est créé un identifiant parcellaire unique, pour chaque parcelle, dénommé Numéro d’Identification Cadastral, en abrégé NICAD."
6,7,,,2012-396,,0,2,,2012-03-27,,,,,,,,,0,,,,,,,Toute parcelle de terrain doit posséder obligatoirement un NICAD attribué par le service du Cadastre territorialement compétent de la Direction Générale des Impôts et des Domaines.
7,8,,,2012-396,,0,3,,2012-03-27,,,,,,,,,0,,,,,,,"Le NICAD comporte seize (16) caractères ainsi libellés :
RR D AAA C/CR SSS PPPPP
1° - La première partie du NICAD (RR DD AAA C/CR) est issue du découpage administratif, tel que défini par le système de Codification des localités (SYSCOL) en vigueur au Sénégal, et peut être concaténée en lettres si besoin, pour la gestion quotidienne. Elle se décline comme suit :
RR (la Région : 2 caractères) ;
D (le département : 1 caractère) ;
AAA (l’Arrondissement : 3 caractères) ;
C/CR (la Commune, Commune Arrondissement ou Communauté rurale : 2 caractères).
2° - La deuxième partie du NICAD (SSS PPPPP) prend en compte la situation de la parcelle dans la commune ou la communauté rurale. Elle est déterminée par les services du Cadastre de la Direction générale des Impôts et des Domaines, pour les parcelles existantes comme pour celles dont la création ou la modification est envisagée, et se décline comme suit :
SSS (le numéro de la Section : 3 caractères) ; PPPPP (le numéro de la parcelle : 5 caractères).
3° - Seules les informations contenues dans la deuxième partie du NICAD doivent obligatoirement figurer dans tout document écrit sur rapport matérialisé en application des dispositions des articles suivants du décret. Cette mesure de simplification est soumise à la condition que les noms des collectivités territoriales, sur les territoires desquels les effets du document trouvent à s’appliquer, soient clairement mentionnés dans ce dernier.
Concernant les fichiers informatiques faisant l’objet d’échanges dématérialisés avec les services du Cadastre de la Direction générale des Impôts et des Domaines, il peut être exigé la transmission complète du NICAD."
8,9,,,2012-396,,0,4,,2012-03-27,,,,,,,,,0,,,,,,,"1°- Toute modification apportée à la superficie ou aux limites d’une parcelle doit entraîner l’attribution d’un nouveau NICAD pour la parcelle concernée. Tout morcellement d’une parcelle, y compris celui opéré dans le cadre de lotissements administratifs ou privés, entraîne l’annulation définitive de son NICAD et la création d’autant de NICAD qu’il existe de parcelles nouvelles issues du morcellement. Toute fusion de parcelles entraîne l’annulation définitive de leur NICAD respectif et la création d’un nouveau NICAD pour la parcelle issue de la fusion. Toute affectation au domaine public d’une parcelle entraîne l’annulation définitive de son NICAD. Tout déclassement constaté du domaine public entraîne la création d’une parcelle et d’un NICAD pour l’emprise concernée, lorsque celui-ci n’a pas été préalablement identifié conformément au décret.
2° - L’historique des opérations de création-annulation des NICAD sera préservé par le service du Cadastre territorialement compétent, en vue d’assurer la traçabilité des changements affectant les biens immeubles concernés. A ce titre, la totalité des données composant chaque NICAD existant ou annulé sera conservée indéfiniment dans la base de données foncière gérée par les services du Cadastre de la Direction Générale des impôts et des Domaines."
9,10,,,2012-396,,0,5,,2012-03-27,,,,,,,,,0,,,,,,,"Qu’elle soit autorisée ou non, toute jouissance privative exercée durablement sur un terrain du domaine national ou du domaine public entraîne, pour le terrain correspondant, la création d’une parcelle identifiée au moyen d’un NICAD. Le caractère pérenne de l’occupation s’apprécie notamment au regard du type de constructions et/ou des aménagements réalisés sur le terrain ;"
