id_Article,numero_loi,numero_decret,numero_article,multiplicatif,date_signature,division_partie,division_livre,division_titre,division_chapitre,division_section,division_paragraphe,contenu,code
1,96-06,,1,,1996-03-22,,,TITRE PREMIER : DE LA LIBRE ADMINISTRATION DES COLLECTIVITES LOCALES,Chapitre premier : Dispositions générales.,,,"Dans le respect de l'unité nationale et de l'intégrité du territoire, les collectivités locales de la République sont la région, la commune et la communauté rurale.
La région, la commune et la communauté rurale sont dotées de la personnalité morale et de l'autonomie financière. Elles s'administrent librement par des conseils élus au suffrage universel.",Collectivités Locales
2,96-06,,2,,1996-03-22,,,TITRE PREMIER : DE LA LIBRE ADMINISTRATION DES COLLECTIVITES LOCALES,Chapitre premier : Dispositions générales.,,,"Les collectivités locales sont créées, supprimées, scindées ou fusionnées dans les conditions prévues par le présent code.",Collectivités Locales
3,96-06,,3,,1996-03-22,,,TITRE PREMIER : DE LA LIBRE ADMINISTRATION DES COLLECTIVITES LOCALES,Chapitre premier : Dispositions générales.,,,"Les collectivités locales ont pour mission la conception, la programmation et la mise en œuvre des actions de développement économique, éducatif, social et culturel d'intérêt régional, communal ou rural.
Elles associent en partenariat, le cas échéant, à la réalisation des projets de développement économique, éducatif, social et culturel, les mouvements associatifs et les groupements à caractère communautaire.
Toute personne physique ou morale peut faire au président du conseil régional, au maire et au président du conseil rural, toutes propositions relatives à l'impulsion du développement économique et social de la collectivité locale concernée et à l'amélioration du fonctionnement des institutions.
Tout habitant ou contribuable a le droit de demander à ses frais communication, de prendre copie totale ou partielle des procès-verbaux du conseil régional, du conseil municipal ou du conseil rural, des budgets et des comptes, des arrêtés.
Les collectivités locales sont seules responsables, dans le respect des lois et règlements, de l'opportunité de leurs décisions.",Collectivités Locales
4,96-06,,4,,1996-03-22,,,TITRE PREMIER : DE LA LIBRE ADMINISTRATION DES COLLECTIVITES LOCALES,Chapitre premier : Dispositions générales.,,,"Aucune collectivité locale ne peut délibérer en dehors de ses réunions légales, ni sur un objet étranger à ses compétences, sous peine de se voir appliquer les sanctions administratives et pénales prévues aux articles 27, 94 et 201 du présent code.",Collectivités Locales
5,96-06,,5,,1996-03-22,,,TITRE PREMIER : DE LA LIBRE ADMINISTRATION DES COLLECTIVITES LOCALES,Chapitre premier : Dispositions générales.,,,"La détermination des compétences des régions, des communes et des communautés rurales, relève de la loi.
Tout transfert de compétence à une collectivité doit être accompagné du transfert concomitant par l'Etat à celle-ci, des ressources et moyens nécessaires à l'exercice normal de cette compétence",Collectivités Locales
6,96-06,,6,,1996-03-22,,,TITRE PREMIER : DE LA LIBRE ADMINISTRATION DES COLLECTIVITES LOCALES,"Chapitre II : Organisation, fonctionnement et contrôle des Collectivités locales.",,,Le conseil de chaque collectivité locale élit en son sein un organe exécutif dont la composition est fixée par le présent code.,Collectivités Locales
7,96-06,,7,,1996-03-22,,,TITRE PREMIER : DE LA LIBRE ADMINISTRATION DES COLLECTIVITES LOCALES,"Chapitre II : Organisation, fonctionnement et contrôle des Collectivités locales.",,,Les collectivités locales disposent de budgets et de ressources propres.,Collectivités Locales
8,96-06,,8,,1996-03-22,,,TITRE PREMIER : DE LA LIBRE ADMINISTRATION DES COLLECTIVITES LOCALES,"Chapitre II : Organisation, fonctionnement et contrôle des Collectivités locales.",,,"La préparation, l'adoption, l'exécution et le contrôle de l'exécution du budget des collectivités locales s'effectuent dans les conditions prévues par le présent code et dans le respect des règles de la comptabilité publique.",Collectivités Locales
9,96-06,,9,,1996-03-22,,,TITRE PREMIER : DE LA LIBRE ADMINISTRATION DES COLLECTIVITES LOCALES,"Chapitre II : Organisation, fonctionnement et contrôle des Collectivités locales.",,,"Pour accomplir leurs missions, les collectivités locales disposent de services propres et s'appuient sur les services déconcentrés de l'Etat. Les élus des collectivités locales ont droit à une formation adaptée à leur fonction.",Collectivités Locales
10,96-06,,10,,1996-03-22,,,TITRE PREMIER : DE LA LIBRE ADMINISTRATION DES COLLECTIVITES LOCALES,"Chapitre II : Organisation, fonctionnement et contrôle des Collectivités locales.",,,"Les collectivités locales disposent de personnels dont le statut est déterminé par la loi.
Tout recrutement de personnel par une collectivité locale, doit être prévu et inscrit à son budget.",Collectivités Locales
