id_Article,numero_loi,numero_decret,numero_article,multiplicatif,date_signature,division_partie,division_livre,division_titre,division_chapitre,division_section,division_paragraphe,contenu,code
1,96-13,,1,,1996-08-28,,,TITRE PRELIMINAIRE CHAMP D'APPLICATION,,,,"Les dispositions de la présente loi s'appliquent aux organismes suivants:
les Banques au sens de l'article 3 de la loi portant Réglementation Bancaire' les Services des Chèques Postaux sous réserve des spécificités liées à leur statut;-le Trésor Public et tout autre organisme dûment habilité par la loi.
Au sens de la présente loi, le terme banquier désigne les organismes visés à l'alinéa précédent sans préjudice des dispositions particulières qui leur sont applicables.",Pénal
2,96-13,,2,,1996-08-28,,,TITRE PREMIER - DU CHEQUE,CHAPITRE PREMIER - DE L'OUVERTURE ET DU FONCTIONNEMENT DES COMPTES,,,"Préalablement	à l'ouverture d'un compte de chèques, le banquier doit s'assurer de l'identité et de l'adresse du demandeur sur présentation d'un document officiel en cours de validité portant sa photographie.
Il est tenu des mêmes diligences à l'égard du co-titulaire de compte collectif. Le banquier doit informer les clients auxquels un chéquier est délivré des sanctions encourues en cas de défense de payer faite en violation de l'article 43 alinéa 3 de la présente loi.
Il est également tenu d'adresser à son client un relevé de compte au moins une fois par trimestre.",Pénal
3,96-13,,3,,1996-08-28,,,TITRE PREMIER - DU CHEQUE,CHAPITRE PREMIER - DE L'OUVERTURE ET DU FONCTIONNEMENT DES COMPTES,,,"Les formules de chèques sont soumises à une normalisation définie par Instructions de la Banque Centrale des Etats de l'Afrique de l'Ouest ci-après dénommée Banque Centrale, ou, le cas échéant, par arrêté ministériel.
Les formules de chèques mentionnent l'adresse et le numéro de téléphone de l'agence bancaire auprès de laquelle le chèque est payable.
Elles	mentionnent également le nom et l'adresse du titulaire du compte.",Pénal
4,96-13,,4,,1996-08-28,,,TITRE PREMIER - DU CHEQUE,CHAPITRE PREMIER - DE L'OUVERTURE ET DU FONCTIONNEMENT DES COMPTES,,,"Avant toute délivrance de formules de chèques, le banquier doit s'informer de la situation du demandeur en consultant le fichier des incidents de paiement prévu par l'article 93 de la présente loi.
Il peut être délivré des formules de chèques pré-barrés non endossables sauf au profit d'un banquier.
Les autres formules de chèques sont soumises à un droit de timbre dont le montant sera fixé par arrêté ministériel. Ce droit est supporté par la personne qui demande la délivrance de telles formules.",Pénal
5,96-13,,5,,1996-08-28,,,TITRE PREMIER - DU CHEQUE,CHAPITRE PREMIER - DE L'OUVERTURE ET DU FONCTIONNEMENT DES COMPTES,,,"Lorsqu'il en est délivré, les formules de chèques sont gratuites.",Pénal
6,96-13,,6,,1996-08-28,,,TITRE PREMIER - DU CHEQUE,CHAPITRE PREMIER - DE L'OUVERTURE ET DU FONCTIONNEMENT DES COMPTES,,,"Le banquier peut, par décision dûment motivée, refuser de délivrer au titulaire d'un compte les formules de chèques autres que celles qui sont remises pour un retrait de fonds par le tireur auprès du tiré ou pour une certification. Il peut, à tout moment, demander la restitution des formules antérieurement délivrées.
La restitution doit être demandée lors de la clôture du compte.",Pénal
7,96-13,,7,,1996-08-28,,,TITRE PREMIER - DU CHEQUE,CHAPITRE Il - DE LA CREATION ET DE LA FORME DU CHEQUE,,,"Le chèque contient:
1°-la dénomination de chèque, insérée dans le texte même du titre et exprimée dans la langue employée pour la rédaction de ce titre;
2°-Le mandat pur et simple de payer une somme déterminée;
3°-Le nom de celui qui doit payer (tiré);
4°-L'indication du lieu où le paiement doit s'effectuer;
5°-L'indication de la date et du lieu où le chèque est créé;
6°-La	signature manuscrite de celui qui émet le chèque (tireur).",Pénal
8,96-13,,8,,1996-08-28,,,TITRE PREMIER - DU CHEQUE,CHAPITRE Il - DE LA CREATION ET DE LA FORME DU CHEQUE,,,"Le titre dans lequel une des énonciations indiquées à l'article 7 de la présente loi fait défaut ne vaut pas comme chèque, sauf dans les cas déterminés par les alinéas suivants.
A défaut d'indication spéciale, le lieu désigné à côté du nom du tiré est réputé être le lieu de paiement. Si plusieurs lieux sont indiqués à côté du nom du tiré, le chèque est payable au premier lieu indiqué.
A défaut de ces indications ou de toute autre indication, le chèque est payable au lieu où le tiré a son établissement principal.
Le chèque sans indication du lieu de sa création est considéré comme souscrit dans le lieu désigné à côté du nom du tireur.",Pénal
9,96-13,,9,,1996-08-28,,,TITRE PREMIER - DU CHEQUE,CHAPITRE Il - DE LA CREATION ET DE LA FORME DU CHEQUE,,,"Le chèque ne peut être tiré que sur un banquier ayant au moment de la création du titre, des fonds suffisants à la disposition du tireur et conformément à une convention, expresse ou tacite, d'après laquelle le tireur a le droit de disposer de ces fonds par chèque.
Les titres tirés et payables au Sénégal sous forme de chèques sur toute autre personne que celles visées au premier alinéa du présent article ne sont pas valables comme chèques.
La provision doit être faite par le tireur ou par celui pour le compte de qui le chèque sera tiré, 'sans que le tireur pour compte d'autrui cesse d'être personnellement obligé envers les endosseurs et le porteur seulement.
Le tireur seul est tenu de prouver en cas de dénégation que le tiré avait provision au moment de la création du titre; sinon il est tenu de le garantir même si le protêt est fait après les délais fixés.",Pénal
10,96-13,,10,,1996-08-28,,,TITRE PREMIER - DU CHEQUE,CHAPITRE Il - DE LA CREATION ET DE LA FORME DU CHEQUE,,,"Le chèque ne peut être accepté. Une mention d'acceptation portée sur le chèque est réputée non écrite.
Toutefois, le tiré a la faculté de viser le chèque conformément	aux dispositions de l'article 36 de la présente loi.",Pénal
