id_Article,numero_loi,numero_decret,numero_article,multiplicatif,date_signature,division_partie,division_livre,division_titre,division_chapitre,division_section,division_paragraphe,contenu,code
1,,,1,,,,,TITRE PRELIMINAIRE : DE L'ACTION PUBLIQUE ET DE L'ACTION CIVILE,,,,"L'action publique pour l'application des peines est mise en mouvement et exercée par les magistrats ou les fonctionnaires auxquels elle est confiée par la loi.
Cette action peut aussi être mise en mouvement par la partie lésée, dans les conditions déterminées par le présent Code.",Procédures Pénales
2,,,2,,,,,TITRE PRELIMINAIRE : DE L'ACTION PUBLIQUE ET DE L'ACTION CIVILE,,,,"L'action civile en réparation de dommage causé par toute infraction appartient à tous ceux qui ont personnellement souffert du dommage directement causé par l'infraction.
La renonciation à l'action civile ne peut ni arrêter ni suspendre l'exercice de l'action publique, sous réserve des cas visés à l'alinéa 3 de l'article «6».",Procédures Pénales
3,,,3,,,,,TITRE PRELIMINAIRE : DE L'ACTION PUBLIQUE ET DE L'ACTION CIVILE,,,,"L'action civile peut être exercée en même temps que l'action publique et devant la même juridiction.
Elle est recevable pour tous chefs de dommages aussi bien matériels que corporels ou moraux, qui découlent des faits, objets de la poursuite.
La partie lésée peut poursuivre devant la juridiction répressive, outre la réparation du dommage découlant du fait poursuivi, celle de tous autres dommages résultant directement de la faute de l'auteur de l'infraction.",Procédures Pénales
4,,,4,,,,,TITRE PRELIMINAIRE : DE L'ACTION PUBLIQUE ET DE L'ACTION CIVILE,,,,"L'action civile peut être aussi exercée séparément de l'action publique.
Toutefois, il est sursis au jugement de cette action exercée devant la juridiction civile, tant qu'il n'a pas été prononcé définitivement sur l'action publique, lorsque celle-ci a été mise en mouvement.",Procédures Pénales
5,,,5,,,,,TITRE PRELIMINAIRE : DE L'ACTION PUBLIQUE ET DE L'ACTION CIVILE,,,,"La partie qui a exercé son action devant la juridiction civile compétente ne peut la porter devant la juridiction répressive.
Il n'en est autrement que si celle-ci a été saisie par le ministère public avant que le jugement sur le fond ait été rendu par la juridiction civile.",Procédures Pénales
6,,,6,,,,,TITRE PRELIMINAIRE : DE L'ACTION PUBLIQUE ET DE L'ACTION CIVILE,,,,"L'action publique pour l'application de la peine s'éteint par la mort du prévenu, la prescription, l'amnistie, l'abrogation de la loi pénale et la chose jugée.
Toutefois, si des poursuites ayant entraîné condamnation ont révélé la fausseté du jugement ou de l'arrêt qui a déclaré l'action publique éteinte, l'action publique pourra être reprise : la prescription doit alors être considérée comme suspendue depuis le jour ou le jugement ou l'arrêt était devenu définitif jusqu'à celui de la condamnation du coupable de faux ou usage de faux.
Elle peut, en outre, s'éteindre par transaction, lorsque la loi en dispose expressément ; il en est de même, en cas de retrait de plainte, lorsque celle-ci est une condition nécessaire de la poursuite.",Procédures Pénales
7,,,7,,,,,TITRE PRELIMINAIRE : DE L'ACTION PUBLIQUE ET DE L'ACTION CIVILE,,,,"En matière de crime, l'action publique se prescrit par dix années révolues à compter du jour où le crime a été commis si dans cet intervalle, il n'a été fait aucun acte d'instruction ou de poursuite.
S'il en a été effectué dans cet intervalle, elle ne se prescrit qu'après dix années révolues à compter du dernier acte. Il en est ainsi même à l'égard des personnes qui ne seraient pas impliquées dans cet acte d'instruction ou de poursuite.
La prescription est suspendue par tout obstacle de droit ou de fait empêchant l'exercice de l'action publique.",Procédures Pénales
8,77-32,,8,,1977-02-22,,,TITRE PRELIMINAIRE : DE L'ACTION PUBLIQUE ET DE L'ACTION CIVILE,,,,"(Loi n°77-32 du 22 février 1977)
En matière de délit, la prescription de l'action publique est de trois années révolues ; elle s'accomplit selon les distinctions spécifiées à l'article précédent.
Toutefois, en matière de détournement de deniers publics, la prescription est de 7 années révolue à compter du jour où le fait délictueux a été commis.",Procédures Pénales
9,,,9,,,,,TITRE PRELIMINAIRE : DE L'ACTION PUBLIQUE ET DE L'ACTION CIVILE,,,,"En matière de contravention, la prescription de l'action publique est d'une année révolue ; elle s'accomplit selon les distinctions spécifiées à l'article «7».",Procédures Pénales
10,,,10,,,,,TITRE PRELIMINAIRE : DE L'ACTION PUBLIQUE ET DE L'ACTION CIVILE,,,,"L'action civile ne peut être engagée après l'expiration du délai de prescription de l'action publique.
Toutefois, lorsqu'il a été définitivement statué sur l'action publique, et si une condamnation pénale a été prononcée, l'action civile se prescrit par dix ans.
L'action civile est soumise à tous autres égards aux règles du Code civil.",Procédures Pénales
11,,,11,,,,LIVRE PREMIER : DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,TITRE PREMIER : DES AUTORITES CHARGEES DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,,,,"Sauf dans les cas où la loi en dispose autrement, et sans préjudice des droits de la défense, la procédure au cours de l'enquête et de l'instruction est secrète.
Toute personne qui concourt à cette procédure est tenue au secret professionnel dans les conditions et sous les peines de l'article «363» du Code pénal.",Procédures Pénales
12,,,12,,,,LIVRE PREMIER : DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,TITRE PREMIER : DES AUTORITES CHARGEES DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,CHAPITRE PREMIER : DE LA POLICE JUDICIAIRE SECTION PREMIERE - DISPOSITIONS GENERALES,,,"La police judiciaire est exercée sous la direction du Procureur de la République par les officiers et agents de police judiciaire, ainsi que par les fonctionnaires et agents auxquels sont attribuées par la loi certaines fonctions de police judiciaire.",Procédures Pénales
13,,,13,,,,LIVRE PREMIER : DE L'EXERCICE DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,TITRE PREMIER : DES AUTORITES CHARGEES DE L'ACTION PUBLIQUE ET DE L'INSTRUCTION,CHAPITRE PREMIER : DE LA POLICE JUDICIAIRE SECTION PREMIERE - DISPOSITIONS GENERALES,,,"Dans le ressort de la Cour d'appel, elle est placée sous la surveillance du Procureur général et sous le contrôle de la Chambre d'accusation conformément aux articles « 30 » et « 210 » et suivants.",Procédures Pénales
